"","pr_dsI"
"2329",0.267531885679156
"2330",0
"2331",14.583617252319
"2332",3.27548544443681
"2333",104.391647870345
"2334",4.66274986796299
"2335",0.314324534885396
"2336",15.1732046323176
"2337",5.71764885668603
"2338",35.53420018178
"2339",37.8992933482777
"2340",15.0749400689845
"2341",2.59255743347254
"2342",0
"2343",0.29499713630021
"2344",0
"2345",0
"2346",0
"2347",0
"2348",0
"2349",0
"2350",0
"2351",0
"2352",0
"2353",7.49134203669235
"2354",5.04405500260799
"2355",3.70613887039529
"2356",0.359742546353036
"2357",9.42841728628562
"2358",6.46745940476447
"2359",0
"2360",0
"2361",0
"2362",0
"2363",0
"2364",0
"2365",0
"2366",0
"2367",0
"2368",10.5155513549349
"2369",0
"2370",0
"2371",0
"2372",0.298102137604543
"2373",0
"2374",0
"2375",10.6055512417412
"2376",0.209119353703967
"2377",0
"2378",0.0535083463785607
"2379",0.0475023074993345
"2380",0.131040848274026
"2381",0.109746710429497
"2382",3.96270094609053
"2383",27.0550211367762
"2384",2.27791389868817
"2385",0.208573350169492
"2386",0.185095198187062
"2387",0.212941378445293
"2388",0
"2389",0.0584223781888367
"2390",0.0606063923267371
"2391",0.165985074480433
"2392",0.105924685688171
"2393",0.103194668015796
"2394",0
"2395",5.92807278628866
"2396",0.200383297152365
"2397",0.229321484479546
"2398",0.22331544560032
"2399",0.228775480945071
"2400",4.83833002611376
"2401",0.210757364307392
"2402",0.162163049739108
"2403",0.0556923605164612
"2404",0
"2405",0.0472932366695515
"2406",0.0917809423502313
"2407",0.110217288848531
"2408",0.0480948169520863
"2409",0.111018869131066
"2410",0.0549082493536318
"2411",22.6741858541455
"2412",5.55215875569133
"2413",3.23620153199764
"2414",4.99795344926777
"2415",0.567939859811099
"2416",0.0721422254281294
"2417",0.109415708565996
"2418",40.3527150070815
"2419",1.16020228155765
"2420",0.62150002452638
"2421",4.87335486711494
"2422",1.54140504050358
"2423",0.0921817324914987
"2424",0.0292576803125191
"2425",0.106209387435857
"2426",0.0244481986173105
"2427",0.0216426676284388
"2428",0.103804646588253
"2429",0.0212418774871714
"2430",0.0496979775171558
"2431",0.0677335338741882
"2432",0.0669319535916534
"2433",0.0144284450856259
"2434",0.0845667198074184
"2435",0.0336663718664604
"2436",0.992443232791633
"2437",1.05883908287276
"2438",0.485738061119849
"2439",21.6639483599314
"2440",7.12252745449263
"2441",2.83743683777615
"2442",0
"2443",0
"2444",0.426331247889364
"2445",0.765299535145661
"2446",0
"2447",0.796750200973565
"2448",1.04515701543809
"2449",12.3093383732453
"2450",2.93782482163088
"2451",2.17624822923542
"2452",3.75963877490846
"2453",0.52767228222372
"2454",5.94897223931251
"2455",21.8019818377316
"2456",8.56262260876624
"2457",1.81898511022302
"2458",0
"2459",0
"2460",0.947014493262439
"2461",0.412353174188073
"2462",0
"2463",1.06582811972341
"2464",0.758310498295015
"2465",0.709387240340498
"2466",0
"2467",0
"2468",0
"2469",0
"2470",0.389222810945084
"2471",0
"2472",0
"2473",0
"2474",0
"2475",3.16025685304666
"2476",2.30977596465322
"2477",5.82478714090952
"2478",2.08205157377191
"2479",3.44076284472989
"2480",3.06149882638894
"2481",1.29796263607273
"2482",0
"2483",0
"2484",0.394063890683207
"2485",6.95953623152554
"2486",3.35611310759472
"2487",0
"2488",0
"2489",0.65169735238295
"2490",0
"2491",0
"2492",0
"2493",0
"2494",0
"2495",2.23076954332705
"2496",0.47213730391439
"2497",0.0231003228816828
"2498",0.27604885843611
"2499",8.52646505988137
"2500",1.3276279685076
"2501",0.384620375980019
"2502",1.86093483449792
"2503",9.54152042415296
"2504",21.4176681861306
"2505",0.758728252081796
"2506",0.303769245894129
"2507",17.222106013808
"2508",0.339574746360737
"2509",0.381155327547766
"2510",0.427553623132579
"2511",0.395015521276776
"2512",0.173252421612621
"2513",0.654146790308359
"2514",0.215988018943734
"2515",0.204437857502893
"2516",0.184802583053462
"2517",0.662861912122812
"2518",0.397325553564944
"2519",0.38231034369185
"2520",0.750013130267343
"2521",0.158237211739527
"2522",0.123586727417003
"2523",26.4027178639978
"2524",3.9775132422198
"2525",0.0716110009332167
"2526",0.28182393915653
"2527",0.132549337993452
"2528",0.355513125081775
"2529",0.116748754656484
"2530",0.280899259323871
"2531",0.124649046324968
"2532",0.218574736161387
"2533",0.0456461296401291
"2534",9.64207361986492
"2535",0.0228230648200646
"2536",0.129038097251903
"2537",0.0491573703816775
"2538",0.283532689880033
"2539",0.150105541701194
"2540",0.688130895092922
"2541",11.1151682006776
"2542",9.29182735589547
"2543",90.4171031797845
"2544",0.0939256898364195
"2545",0.107970652802613
"2546",8.59133482795655
"2547",2.0615598110849
"2548",1.59082441744108
"2549",0.362535606564872
"2550",0.205407583380581
"2551",0.274754588026162
"2552",1.66587718829168
"2553",0.548032389505145
"2554",0.336201301003259
"2555",0.299333273217001
"2556",0.33269006026171
"2557",0.270365537099226
"2558",0.168951894690579
"2559",0
"2560",0
"2561",0.216227424856291
"2562",0.220102468312497
"2563",0.615630433324764
"2564",0.268928015860692
"2565",0.183677059824161
"2566",0
"2567",0.195302190192779
"2568",2.00464659851376
"2569",0.656512141787737
"2570",5.77538300262794
"2571",1.74300366435074
"2572",13.9094001029314
"2573",1.90653049820263
"2574",0.332478728542469
"2575",0.310003476496475
"2576",0.282103163611792
"2577",0.296053320054134
"2578",0.262727946330763
"2579",0.0852509560365306
"2580",0.320853598173852
"2581",0.277453111464345
"2582",0.336353771998675
"2583",5.40600474263309
"2584",0.214677407473809
"2585",0.29372829398041
"2586",0.390781036778414
"2587",0.285978207067998
"2588",0.266602989786969
"2589",0
"2590",0
"2591",0
"2592",0
"2593",0
"2594",0
"2595",0
"2596",0.880970354425566
"2597",0
"2598",0
"2599",0
"2600",0
"2601",0
"2602",2.9688392719114
"2603",3.46114313538222
"2604",0
"2605",0
"2606",0.358874621771572
"2607",0
"2608",0
"2609",0
"2610",0
"2611",0
"2612",0.383254691185401
"2613",5.85469488255547
"2614",9.71722867028677
"2615",12.7307210551658
"2616",0
"2617",0.0346777560011108
"2618",0.102106726003271
"2619",0.0549064470017588
"2620",0.200360368006418
"2621",0.109812894003518
"2622",2.89859930653035
"2623",13.206402913173
"2624",6.35537874320358
"2625",5.50536999730135
"2626",14.9411619068536
"2627",1.16525570737066
"2628",0.854177726127361
"2629",0.791179802725344
"2630",4.08957107798814
"2631",2.70173079589904
"2632",0.331365224010615
"2633",0.390262871075001
"2634",0.285128216009133
"2635",13.9521871534469
"2636",6.07127046119448
"2637",3.50194338911219
"2638",1.09525801470175
"2639",0.307283449009843
"2640",0.198433826006356
"2641",0.207103265006634
"2642",0.20228691000648
"2643",0.316916159010152
"2644",0.211919620006788
"2645",0.0462370080014811
"2646",0.171462238005492
"2647",0.0308246720009874
"2648",0
"2649",0.368504447028343
"2650",0.435174659484129
"2651",0.401233460415729
"2652",0.392748160648629
"2653",13.5511485118788
"2654",1.58063664926259
"2655",0.84653343558833
"2656",0
"2657",0
"2658",0
"2659",0
"2660",0
"2661",0
"2662",0
"2663",0
"2664",0
"2665",0
"2666",0
"2667",11.534018059891
"2668",114.043926275665
"2669",3.04324700221718
"2670",0
"2671",12.6384796516351
"2672",15.0590361940205
"2673",0.874640991066848
"2674",0
"2675",0
"2676",0.357594775899214
"2677",0
"2678",0
"2679",0.242101098067069
"2680",0.308221145858495
"2681",0
"2682",13.8244753316671
"2683",1.78385506312221
"2684",0
"2685",0
"2686",0.256342339129838
"2687",0.261428496652255
"2688",0
"2689",4.0269203405135
"2690",5.55387458446419
"2691",0
"2692",5.94700694380214
"2693",3.93333504210102
"2694",0.247187255589486
"2695",0.320427923912297
"2696",0
"2697",0.27465250621054
"2698",0
"2699",0.252273413111904
"2700",9.17135924442309
"2701",0
"2702",12.5961682900033
"2703",15.4429504924477
"2704",1.47396844999656
"2705",0
"2706",6.92347707667232
"2707",7.22533553919885
"2708",10.1424443408914
"2709",7.82736529427485
"2710",6.26584545021497
"2711",9.49562193780212
"2712",2.92142573357026
"2713",4.22335113941934
"2714",10.6835629837262
"2715",0.327596342031848
"2716",0
"2717",0
"2718",0.322329519812686
"2719",3.52824420461632
"2720",35.2429098982123
"2721",6.40025475324797
"2722",0
"2723",0
"2724",0
"2725",37.2837570361767
"2726",2.31510141437359
"2727",1.5828063852642
"2728",0
"2729",0.294942044273046
"2730",0
"2731",0
"2732",0
"2733",0
"2734",1.45356667080939
"2735",1.55695844237324
"2736",0
"2737",0
"2738",0
"2739",0
"2740",23.1242774563799
"2741",0.186733208790487
"2742",0.034944226206407
"2743",0.153426993187506
"2744",0.214579389048718
"2745",0.389168480010324
"2746",1.29107353404885
"2747",0.703059845274127
"2748",0.193285251204189
"2749",0.0480483110338096
"2750",0.0977346326710446
"2751",0.132132855342976
"2752",0.157249017928832
"2753",0.0529623428440856
"2754",0.144144933101429
"2755",0.136500883618777
"2756",0.229867488014021
"2757",0.213487381979768
"2758",0.0737104771541398
"2759",0.0458642968959092
"2760",0
"2761",0.102648664481321
"2762",0.152334986118556
"2763",0.127764827067176
"2764",0.131586851808501
"2765",0.044772289826959
"2766",0
"2767",0.0693424488783389
"2768",0.0371282403443074
"2769",0.161617046204632
"2770",0.0168331859332302
"2771",0.0529042986472949
"2772",0.0388766437029364
"2773",0.0853683000899531
"2774",0.00240474084760431
"2775",0.0276545197474496
"2776",0.00961896339041725
"2777",0.118233091673879
"2778",0.249197164305663
"2779",10.8972656739434
