"","ref_etp_proj"
"374",1.02958203852177
"375",0.400746092200279
"376",1.65452195890248
"377",1.48730178177357
"378",1.25624705851078
"379",1.19906295835972
"380",1.38956196606159
"381",0.887854468310252
"382",2.04771193303168
"383",2.11411428079009
"384",2.01965866796672
"385",1.3515741918236
"386",1.96298465784639
"387",2.10463326796889
"388",2.64499628078192
"389",2.93318849056959
"390",2.06718669831753
"391",2.41936594247818
"392",2.59212253242731
"393",2.31526006944478
"394",3.09737357497215
"395",2.28093526884913
"396",2.80783002264798
"397",3.43149872124195
"398",2.53623168414924
"399",3.2502324944362
"400",1.64016868639737
"401",3.20632177917287
"402",2.72800150327384
"403",1.22569507360458
"404",0.0142946923151612
"405",1.40015457570553
"406",0.644801966845989
"407",0.505997304804623
"408",2.36527050953009
"409",2.64884253492346
"410",2.01594580709934
"411",2.88813358917832
"412",3.63681298948359
"413",3.3380094813183
"414",4.47556738043204
"415",4.31482857465744
"416",2.46189817599952
"417",1.7749226167798
"418",3.39432739512995
"419",3.22367259324528
"420",3.70067774760537
"421",3.05126613844186
"422",2.49381102621555
"423",1.59681768342853
"424",3.27257735095918
"425",2.89528587460518
"426",3.68455176800489
"427",3.69444089382887
"428",4.37825500871986
"429",3.53525127377361
"430",4.66607771813869
"431",4.59264157898724
"432",4.75702044740319
"433",2.09133059345186
"434",4.21450893580914
"435",4.78298461856321
"436",4.85826668422669
"437",3.22459404286928
"438",4.37846084870398
"439",6.16590885072947
"440",4.30588454008102
"441",3.17008607462049
"442",4.53778959810734
"443",3.59285736829042
"444",4.76885741949081
"445",4.87267377087846
"446",6.575997043401
"447",6.86573603749275
"448",5.87556819431484
"449",5.96012498065829
"450",6.66564594209194
"451",5.57025937759317
"452",6.87142810225487
"453",7.19945823281887
"454",6.46924053644761
"455",6.51461774297059
"456",6.26806938782101
"457",5.12417030334473
"458",5.7423947006464
"459",4.73189893551171
"460",3.64072852954268
"461",7.82235839869827
"462",6.3196638058871
"463",5.50918181799352
"464",1.8074780087918
"465",3.05003689974546
